,anchor_left_distance_xl,anchor_right_distance_xl,anchor_left_distance_mn,anchor_right_distance_mn,anchor_left_distance_resnet,anchor_right_distance_resnet
34,1.8260962,1.5387154,1.7287642,1.2133995,1.738915,1.5694935
35,1.3578467,1.5800241,1.509206,1.5694257,1.4139162,1.7163867
36,1.0568029,1.6914212,0.924269,1.669647,1.0374625,1.7925758
37,1.619697,1.1582522,1.4789662,1.2962055,1.5718467,1.3046643
38,0.91381663,1.1680428,1.0013355,1.4603083,0.6393837,1.0168235
39,1.3889744,1.2364511,1.1252939,1.5086923,1.3354872,1.2897933
40,1.5650442,1.0394804,1.6761011,1.1485188,1.5575602,1.0078787
41,1.7669923,1.0742111,1.6423329,1.1735394,1.5717852,1.0586936
42,1.4357653,1.8261487,1.3722597,1.656722,1.2890222,1.5615447
43,0.92199475,1.8553009,1.0296172,1.816914,1.0659996,1.8369701
44,1.8082093,1.3014481,1.5699457,1.4946325,1.6759043,1.083588
45,1.2145319,1.2424915,1.3857815,1.443782,1.3239399,0.8834922
46,1.3797519,1.2966943,1.2066834,1.1221954,1.0931598,1.3206083
47,1.118954,1.7930394,0.93970656,1.8423384,1.0208955,1.8212912
48,1.5097322,1.5225251,1.5033292,1.1659124,1.4785008,1.0800712
49,1.648824,1.7910837,1.6781862,1.8504771,1.6041205,1.7763693
50,1.215413,1.7086772,1.2261388,1.7597318,1.2953875,1.6484358
51,1.4428096,1.0899546,1.3122399,1.1660792,1.3111295,0.94923663
52,1.8023975,1.3017154,1.5172791,1.1080223,1.7242719,1.0451725
53,1.6704218,0.94757235,1.4960192,0.9557024,1.7478143,1.0560029
54,1.4956104,1.5644565,1.2624854,1.4284222,1.2781247,1.4403627
55,1.5076524,0.9634294,1.7468662,1.2970241,1.3989222,0.7867854
56,1.4494038,1.1133156,1.4844284,1.399997,1.3588991,1.0857967
57,1.5636086,1.0899546,1.5528806,1.1660792,1.6060352,0.94923663
58,1.2770073,1.4856074,1.2003906,1.5566094,1.2683115,1.2797209
59,1.3217486,1.8149635,1.35889,1.7323238,1.1676352,1.746395
60,1.4295409,1.1475545,1.4118271,1.1538755,1.3468978,1.1884847
61,1.2714982,1.6572279,1.5274737,1.8281587,1.3328322,1.5330613
62,1.0130464,1.6697625,0.94453627,1.5939621,0.96533173,1.6716368
63,0.7343485,1.3833977,0.8605662,1.369089,0.6970037,1.1735799
64,1.8529598,1.0372273,1.6895733,0.9945657,1.6375587,0.8925908
65,1.2906156,1.3688967,1.5355769,1.1183373,1.0921468,1.3583962
66,1.8384727,1.1734186,1.9038019,1.1461208,1.6826953,1.1242034
67,1.6855005,1.148081,1.7044566,1.1134439,1.6893353,1.3465168
68,0.84042543,0.88083017,1.0271659,1.0665642,0.910884,0.969096
69,1.237501,1.2812142,1.3062456,1.4292803,1.093473,1.3065505
70,1.1896907,1.4484936,1.1749066,1.412052,1.087555,1.3331058
71,0.9714885,1.5189993,0.803687,1.3323128,1.1808759,1.4682716
72,1.1361701,1.487589,1.1750065,1.6795402,1.0506704,1.4058524
73,1.176456,1.5601621,1.1632628,1.6074525,1.3468385,1.4630432
74,1.5278881,1.2195337,1.5640465,1.2985964,1.3320382,0.9329107
75,1.3975683,1.3567826,1.4778534,1.190863,0.97379047,1.5643151
76,1.0728298,1.8227656,1.1517183,1.8022056,0.8769411,1.7956166
77,1.148475,1.5142559,1.2457948,1.6026059,1.2576933,1.5135436
78,1.6544949,1.3532792,1.6690698,1.4178373,1.5760043,1.2772311
79,1.8064556,1.4410309,1.7347007,1.3574659,1.7317837,1.2576205
80,1.6805164,1.1881654,1.8136257,1.0684676,1.6662338,1.1878874
81,1.7525723,0.87897843,1.6516886,1.0253868,1.777355,0.8448584
82,1.779391,1.1318247,1.4775436,0.91632164,1.564731,0.929802
83,1.7546916,0.97260094,1.497971,1.0715362,1.4859467,0.8344414
84,1.1609797,1.7034328,1.0449427,1.3637487,1.1023984,1.304467
85,1.6434401,1.138422,1.5458058,1.2390543,1.6225858,1.1340866
86,1.4114532,0.89770967,1.2640195,1.2302219,1.393459,1.0406454
87,0.90629125,1.5440594,1.111268,1.709651,0.6700186,1.5116286
88,1.6970465,1.4150547,1.5273116,1.0157547,1.6035795,1.475146
89,1.053285,1.6073767,1.1575806,1.4186223,0.755912,1.4530268
90,1.0642643,1.7636994,1.0677885,1.7808167,0.81119,1.7581761
91,1.5357916,1.0440934,1.497144,1.1100541,1.3672867,0.882501
92,1.2407417,1.069941,1.1155051,0.95791155,1.0690948,0.7846818
93,1.5067425,1.1986674,1.6255995,1.4348409,1.3458896,1.1092908
94,1.460921,0.9485565,1.2094159,0.9559721,1.438546,0.9100809
95,1.0257955,1.8513637,1.1832435,1.688897,1.0531753,1.7815176
96,1.646898,1.150846,1.4400227,0.9597287,1.5316837,0.9353495
97,1.5118418,1.6268883,1.555839,1.634522,1.0570867,1.6519797
98,1.2716341,1.5033847,1.5770166,1.6971581,1.3732882,1.6417787
99,1.6539179,1.1451635,1.3085091,1.0927202,1.549191,1.1695024
100,1.6874231,1.071526,1.6271168,1.07106,1.8440304,0.7676774
101,0.7220214,1.108803,1.1170715,1.3585858,0.84604156,1.1408838
102,1.3328056,1.5715425,1.2463676,1.4868937,0.9253029,1.1541649
103,1.2854366,1.3918258,1.3530703,1.35874,1.0571381,1.3050716
104,1.5931735,1.0590947,1.694078,1.0239716,1.5260777,1.118365
105,1.7353257,1.1689265,1.3981965,1.1229955,1.7712944,1.0616523
106,1.8180856,1.0799565,1.7102463,1.0124773,1.7510505,1.2239367
107,1.0432025,1.1279587,1.0670413,1.2978222,0.76460826,0.964605
108,1.8348467,1.0001982,1.7538725,1.1624331,1.8737406,0.8293505
109,1.7005774,1.20219,1.7006556,1.499626,1.6857772,1.2396187
110,1.0243182,1.4930012,1.2909442,1.5747156,1.126292,1.3222524
111,1.0711102,1.798769,1.2257159,1.8312086,1.0787,1.765931
112,1.5591328,1.0579201,1.6728709,1.3331773,1.6583337,0.9188075
113,1.7429428,1.4114028,1.6411414,1.3231648,1.7212292,1.4427269
114,1.0485151,1.6024961,1.2028348,1.5101119,0.97131443,1.4563754
115,1.584871,1.2007321,1.6808431,1.2028458,1.2144076,0.9512275
116,0.971852,1.6144916,1.2341084,1.5894141,0.9131233,1.761782
117,1.2328672,1.4673829,1.6247112,1.7792864,1.1925218,1.1968975
118,1.6775359,0.8253335,1.6866652,1.1507306,1.5735099,0.646884
119,1.8655823,0.78845125,1.6390944,0.8587238,1.8110871,0.94842744
120,0.82544416,1.2447644,1.0073828,1.2906549,0.8208494,1.3260231
121,1.533268,0.9221087,1.5803742,0.9636815,1.6148047,0.96319866
122,1.0389739,1.7603358,1.2145365,1.816081,0.7358078,1.7669172
123,1.6847154,1.1151296,1.7026231,1.4112647,1.7231495,1.1323045
124,1.4402797,1.6745318,1.3920232,1.648053,1.5437446,1.7217643
125,1.6430871,0.8630118,1.7716203,1.1209948,1.735287,0.6901883
126,1.4223229,0.8641498,1.4877514,0.92178607,1.3969563,0.7044879
127,1.6284771,1.1314738,1.7531013,1.0816866,1.6712747,1.1719854
128,1.6784815,1.4615324,1.7433699,1.6682605,1.7389688,1.443959
129,1.1252815,1.6294216,1.2656661,1.4479779,1.0459099,1.5517704
130,1.0184216,1.8865854,1.0043443,1.6992403,0.91650134,1.86501
131,1.6356609,1.0397185,1.5602293,1.0578507,1.5782756,1.0438123
132,1.5205889,0.9480917,1.4423506,1.264076,1.4084464,0.94853425
133,1.4474095,1.379281,1.3373258,1.4292561,1.2298796,1.1955031
134,1.7989569,1.1475176,1.692212,1.1658788,1.67465,1.0143735
135,1.2506706,1.3601713,1.0265737,1.3172679,0.8456014,1.2521002
136,0.91453505,1.1390553,0.98522365,1.0161885,0.83376586,0.87723935
137,1.5261409,1.037196,1.5339077,1.2010543,1.444539,1.0047473
138,1.1495795,1.5902089,1.1735753,1.4008751,1.1606715,1.533327
139,1.2794162,1.8145895,1.6391141,1.7510852,1.1502087,1.7692591
140,1.4492912,1.0910205,1.5327402,1.1480536,1.2890589,1.1831568
141,1.5638744,0.9448821,1.6374844,1.1765672,1.4802408,0.9551735
142,1.1415739,1.652447,1.2742125,1.5463377,1.4645953,1.513969
143,1.8215495,1.4120836,1.6933149,1.2924124,1.811194,1.1970606
144,1.8767701,0.8740745,1.643646,0.96935153,1.8590194,0.6726248
145,1.6867852,1.0810958,1.8050658,1.1066955,1.6427776,1.0554776
146,1.5155048,1.0169977,1.537874,1.1602385,0.876369,1.0968293
147,1.6058254,1.4576666,1.4405134,1.5220665,1.4756241,1.4675096
148,1.8566034,1.0430217,1.6128194,1.1914688,1.7190951,0.9927384
149,0.5404757,1.7578522,0.8828112,1.7071556,0.40520304,1.6857035
150,1.5756953,1.1151296,1.5078124,1.4112647,1.5147291,1.1323045
151,1.460921,1.4248883,1.2094159,1.4165665,1.438546,1.3339813
152,1.2191663,1.0946417,1.5214721,1.195303,1.0803282,1.1136922
153,1.1122658,0.7859782,0.48154595,1.0091594,0.8767589,0.70499855
154,1.271922,1.6960022,1.0889875,1.3814751,1.3379455,1.5591799
155,1.1264822,1.0677252,1.3529854,1.1690814,0.9115161,0.70709
156,1.662453,1.1520596,1.6369462,1.2692823,1.5422876,1.0970545
157,1.3098183,1.6557989,1.3542888,1.6078076,1.3290421,1.4033046
158,1.2475455,1.4641083,1.3511597,1.1897591,1.2929096,1.1624897
159,1.3180729,1.6961181,1.2973719,1.6190072,1.1828935,1.5882245
160,1.5889746,1.0743628,1.6470387,1.2838048,1.4088341,0.8729466
161,1.0000546,1.3219707,1.2335612,1.4118996,0.9881899,1.3824508
162,1.6025268,1.247054,1.4613546,1.2307765,1.5022182,1.3825648
163,1.6440407,1.1050521,1.7196436,1.0679021,1.5699731,1.2720274
164,1.788555,1.1639588,1.7746311,1.1965772,1.7008568,1.2203008
165,1.8324146,0.66161454,1.8110346,0.7120864,1.8864613,0.66834843
166,0.9501225,1.4165641,0.95929974,1.335182,0.76277596,1.3740184
167,1.4006886,0.8987553,1.6367733,1.1379873,1.2027113,1.1477562
168,1.046453,0.81380695,0.9527185,0.97484136,0.92844695,0.92388034
169,1.3422436,1.0149622,1.3999449,1.1290281,1.2252476,0.9760977
170,1.1956198,1.5533698,1.2187334,1.527229,1.1292709,1.663542
171,0.9535728,1.7173042,1.1466498,1.8118671,0.6589383,1.6053492
172,1.6427728,1.5902563,1.6516073,1.6869824,1.6971556,1.412171
173,0.9577469,1.360642,1.1347526,1.3352021,0.7222547,1.1663557
174,1.7012384,0.75771874,1.4473815,0.93532306,1.5198754,0.6808326
175,1.6612229,0.9825263,1.6023767,1.0915959,1.6086899,0.9705261
176,1.2858198,1.627463,1.4146123,1.5605333,1.364704,1.329807
177,1.5828825,1.008466,1.741479,1.1043702,1.496979,1.1161183
178,1.7800028,0.8786717,1.7907407,0.92360044,1.6298616,0.77139026
179,1.7322763,1.6781762,1.688537,0.8536404,1.7019091,1.4778974
180,1.5318017,1.2954319,1.2914464,1.2385113,1.1573658,0.91411406
181,1.2560529,1.5076385,1.2684985,1.5272652,1.100087,1.4732289
182,1.0233278,1.8553009,0.8506846,1.816914,0.7022115,1.8369701
183,1.179078,1.6672306,1.354991,1.4862227,0.9786947,1.7020273
184,1.1740159,1.7230387,1.3050507,1.5339082,1.2260435,1.5853175
185,1.6292094,1.477829,1.4165988,1.2610303,1.697638,1.4766704
186,1.2414893,1.3193846,1.4894818,1.3687803,1.1919181,1.1537969
187,1.3141196,1.5598303,1.7981093,1.243626,1.1890931,1.4073035
188,1.6620327,1.1183803,1.6563535,1.0843511,1.4048767,1.046427
189,1.3963935,1.5556959,1.4713409,1.2762748,1.4901625,1.6509886
190,1.3425803,1.0668807,1.5926592,1.2895525,1.1659551,1.1011211
191,1.2333639,1.6803527,1.4395645,1.5558208,1.5018117,1.3906206
192,1.5243838,0.796178,1.6454569,0.9105315,1.3391199,0.60675305
193,0.94482493,1.2850355,1.0194412,1.289196,0.80000395,1.0037558
194,1.7505001,1.5838492,1.5039777,1.6004231,1.5927918,1.514878
195,1.6854472,1.0522672,1.6175728,1.0388789,1.6941185,0.95317733
196,1.6937054,1.187017,1.5580454,1.2249311,1.6623765,1.1674339
197,1.4416044,1.400907,1.3770435,1.4178699,1.4004129,1.2707193
198,1.1333895,1.114689,1.1928731,1.4082139,1.1509757,1.0407429
199,0.9494923,1.4530499,0.8516737,1.6371989,0.90975577,1.5785398
200,1.308061,1.7018023,1.4335537,1.650403,1.4419976,1.5679573
201,1.4089311,0.892684,1.6345721,1.0878263,1.4460552,0.83155155
202,1.0675138,1.7286297,1.2169632,1.76258,1.0136809,1.7485827
203,1.8027954,1.362023,1.4436905,1.4799092,1.6779015,1.3467875
204,1.34683,1.6717747,1.1726669,1.5479392,1.0687481,1.376803
205,1.3259157,1.7531627,1.0654695,1.4970627,1.1904693,1.5292952
206,1.3229276,0.8310138,1.4527858,1.0933716,1.0897131,0.5105635
207,0.9368001,1.6248438,1.2556282,1.6632367,1.011111,1.5589985
208,1.7688334,1.6009531,1.6654837,1.2540804,1.6761127,1.5435123
209,1.6686213,1.1133001,1.7310603,1.3800771,1.545962,0.97779983
210,0.8314615,1.3389044,1.1046112,1.5018139,0.7547519,1.3576223
211,1.6024172,0.9923331,1.4637841,0.8557234,1.3859138,1.1820312
212,1.4947479,1.8747332,1.3316374,1.771511,1.421665,1.8108195
213,1.080247,1.0914568,1.2456828,1.3016083,1.3045151,1.0873597
214,1.2359506,1.604249,1.3679631,1.6174663,1.2026287,1.3612852
215,1.8220202,0.8462951,1.5282856,1.1346529,1.7484257,0.8520912
216,1.712677,1.162355,1.6749861,1.0707312,1.6038852,1.05175
217,1.2776583,1.715454,1.3721486,1.7581857,1.3577142,1.7519546
218,1.7266098,1.0318766,1.7318935,0.9021679,1.8645234,0.7649836
219,1.6148773,1.0849007,1.4904698,0.8942588,1.6347244,0.61684674
220,1.2021377,1.1787072,1.3728822,1.2807995,1.3296267,0.9481423
221,1.1599307,1.6621984,1.3210977,1.7060667,1.0166577,1.5041363
222,0.8314615,1.6368635,1.1046112,1.4801551,0.7547519,1.5550894
223,1.7054461,1.1936405,1.2390857,1.4859829,1.6122613,1.0534159
224,1.675799,1.5484838,1.7276381,1.2270318,1.6186447,1.5505545
225,1.1030626,1.6900107,0.9543084,1.7877663,1.156366,1.4975333
226,1.0038164,0.96262616,1.0557965,1.3170716,0.69211066,0.91073066
227,1.6128542,1.4760039,1.5909066,1.3751692,1.4945518,1.4763784
228,1.0562891,1.7245318,1.2040598,1.7644557,0.8124351,1.6301103
229,1.2577448,1.5706649,1.4221838,1.4361373,0.905792,1.6105843
230,0.9497433,1.7186791,1.1067936,1.6463385,0.6548629,1.6340376
231,1.6160989,1.1264453,1.2455059,1.1135826,1.2822952,0.8189456
232,1.6510453,1.3295339,1.5728214,1.4961262,1.5781109,1.1054252
233,1.75255,1.3613693,1.595624,1.1771766,1.6771218,1.2135041
234,1.5266106,1.255086,1.626052,1.1316712,1.3957961,1.043279
235,1.89997,1.7419443,1.6316178,1.4617753,1.8313618,1.4728022
236,0.99366987,1.5797656,1.1409029,1.2716305,1.2122805,1.2815223
237,0.76793694,1.844481,0.9646173,1.5953407,0.8504985,1.8684119
238,1.4376129,1.8315122,1.2862347,1.7572821,1.3622344,1.8455536
239,1.6704464,1.1668332,1.3943973,1.2987272,1.5103571,1.1067946
240,1.0368842,1.6144607,0.79073715,1.6926887,0.9766476,1.4804167
241,1.2355458,0.76648474,1.1748636,1.2107579,1.058636,1.0642092
242,1.5815926,1.1539353,1.7004097,1.2240297,1.4707799,1.3310089
243,0.9576791,1.2763453,0.845897,0.40597606,0.5744965,0.99616694
244,1.0039544,1.3090433,1.0550382,1.4761583,0.9534577,1.1759374
245,1.3912259,1.0917233,1.6310225,1.2461814,1.3845898,1.1890224
246,0.7481276,1.8452047,1.0976374,1.7861391,0.78671575,1.7999698
247,1.2486256,1.6596942,1.5240486,1.1211641,1.1540613,1.525683
248,0.9616661,1.7608439,1.3090827,1.7610416,0.81949764,1.7680767
249,1.7480494,1.3316615,1.7334685,1.3269479,1.694096,1.2001171
250,1.0400829,1.3352579,1.226215,1.5205702,0.9583367,1.366757
251,1.7898924,1.7333187,1.692575,1.5707644,1.803479,1.7551074
252,1.0507033,1.8588867,1.0265374,1.8645449,0.7900718,1.9069993
253,1.1988034,1.7031351,1.2579492,1.588115,1.2626411,1.5634465
254,1.2382762,1.40556,1.4011147,1.4787488,1.1957928,1.235379
255,1.3410734,0.9414095,1.6106157,1.157921,1.423548,0.56104714
256,1.2209735,1.454151,1.2844044,1.3216708,1.2027097,1.4921073
257,0.89615405,1.6638932,0.8254051,1.4574184,1.037915,1.5914326
258,1.3609533,0.85658216,1.374567,1.2813216,1.1597561,0.84773093
259,1.265466,1.7783659,1.1783698,1.8209542,1.401974,1.8470681
260,1.5413462,0.9564056,1.4102597,0.9143159,1.4516681,1.2082977
261,1.1362267,1.7531507,1.2870152,1.6254729,0.82482433,1.6288788
262,0.6858345,1.7021786,0.8040898,1.7249895,0.44419315,1.5008918
263,0.92072505,0.96718735,1.1281717,1.2595842,0.62084734,0.9388099
264,1.2252703,1.7493427,1.1321315,1.6286533,0.8451867,1.6385404
265,1.0576491,1.6237161,1.5643559,0.97641057,1.1584778,1.371846
266,1.6973842,1.1369978,1.6741675,0.943911,1.6560105,1.1592817
267,0.9692738,0.7202687,1.2771335,0.91592413,0.9520421,0.5282617
268,0.9881791,1.3724015,1.0658637,1.4656942,0.7773296,1.4474819
269,1.0710697,1.4243536,1.0011371,1.6697232,0.91000867,1.4694355
270,1.4083297,1.186156,0.9585267,1.5032947,1.341511,1.1211389
271,1.6536695,0.8417129,1.654744,1.1528816,1.6157022,0.7954187
272,1.4660097,0.9618364,1.3642962,1.4089711,1.3856064,0.9429329
273,1.4615263,0.8458257,1.4323878,1.0904932,1.3875822,0.9278666
274,1.2861532,0.9215814,1.255349,1.0356787,1.1624963,1.0713673
275,1.1079787,1.7944404,1.1271383,1.6530457,1.1798649,1.6907983
276,1.5497563,1.0777278,1.3260269,0.9781893,1.5017846,0.9676766
277,1.6501651,1.1320117,1.7524655,1.1736448,1.6173697,1.1277806
278,1.6996784,1.069043,1.7109692,1.1513529,1.6008573,0.92008775
279,1.5395328,1.0518897,1.4917995,0.9621277,1.4578382,0.9396217
280,1.5887215,1.0856826,1.5162182,1.0149381,1.3906509,1.1711242
281,1.4672041,1.1150217,1.3556446,1.1834586,1.2212414,0.9687966
282,1.2021224,1.4515278,1.3108454,1.117208,1.0410169,1.135473
283,1.2568334,1.8668423,1.2441014,1.8494016,1.2531953,1.7491975
284,1.20683,1.7383921,1.0161734,1.5860431,1.2122,1.6539185
285,1.5336769,1.0351713,1.6045549,1.0996737,1.4449689,0.8741398
286,1.4842948,0.84283084,1.2416345,0.9810709,1.3642753,0.7584051
287,1.5335792,1.8199935,1.5282787,1.6338599,1.3073813,1.7379078
288,1.2150764,1.5407804,1.2835729,1.3941945,1.03895,1.1609901
289,0.869317,1.2637858,1.053692,1.4127178,0.5410609,1.3128319
290,1.4530311,1.4062891,1.411357,1.4411094,1.178643,1.2106872
291,1.07594,1.4656351,0.9578913,1.4841962,1.0539562,1.424917
292,1.5497563,1.0260727,1.3260269,1.178971,1.5017846,0.9997082
293,1.0242984,1.237088,0.92891943,1.3548423,0.96862066,1.0152283
294,1.1920743,1.481684,1.3610802,1.3874466,0.9892148,1.0761769
295,1.6797843,0.8036295,1.632922,0.81967175,1.3936102,0.59825987
296,1.0750403,1.7927479,1.2813715,1.7309327,0.84237313,1.666556
297,1.2908349,1.189023,1.2498271,1.3534064,1.2710892,1.5006905
298,1.3425803,1.7775413,1.5926592,1.6558496,1.1659551,1.7159814
299,1.1608775,1.4176513,1.2029938,1.3439465,0.7915926,1.240336
300,0.98429924,1.6466846,1.2474079,1.5830594,0.8198411,1.4657372
301,1.8498254,1.4997288,1.6731763,1.5937129,1.793679,1.5414814
302,1.6760935,1.1656405,1.6246382,1.1497992,1.785703,1.3000379
303,1.4607663,1.0457418,1.4992176,1.2237297,1.3143859,0.65086985
304,0.89393574,1.5049381,1.2961222,1.2916682,0.7598723,1.3939697
305,1.687501,1.4802345,1.7312379,1.4352981,1.697015,1.3858521
306,1.3965871,1.125162,1.2508565,1.1143558,1.3217239,0.77705455
307,1.607303,1.1038023,1.6936327,1.2863203,1.6857219,1.1665807
308,1.7143997,1.7234551,1.604072,1.8509166,1.560688,1.6210877
309,0.972665,1.4133595,1.2170378,1.5799395,0.87209,1.3848466
310,1.4350153,1.4224242,1.4283426,1.5286765,1.4435943,1.3514491
311,1.1268492,1.634748,1.342746,1.6588345,1.1606648,1.4721462
312,1.7819724,1.8060482,1.7276194,1.7507778,1.8374794,1.6740428
313,0.979362,1.1602623,0.9848791,0.9082353,0.74196875,1.0630292
314,1.3278816,1.7711642,1.3493534,1.414452,1.3089216,1.5508206
315,1.0232512,1.1839476,1.2489502,1.5102401,0.90378875,0.99637544
316,1.616642,1.2317091,1.6791147,1.1844089,1.3904151,1.0740491
317,0.7272799,1.7187345,1.1891619,1.6496227,0.7987639,1.7565663
318,1.2177411,1.665125,0.9315225,1.6375129,1.3721111,1.657178
319,1.6264311,1.8249898,1.620119,1.6807389,1.6545341,1.7974701
320,1.3731102,1.326458,1.4376401,1.3853099,1.3534874,1.1816468
321,0.97093654,1.4146652,1.3137614,1.7318981,1.0255696,1.4502224
322,1.551451,0.9854361,1.5036876,1.2980888,1.4259362,0.9658539
323,1.5515624,0.86975515,1.522563,0.91912866,1.5459439,0.7729997
324,1.8695736,1.0578886,1.8428226,1.0955325,1.8208522,0.8679833
325,0.85745966,1.7780141,1.0333602,1.4894845,0.58624876,1.6444004
326,1.2806908,0.7625281,1.5220473,1.0778056,1.1934402,0.6734939
327,0.9960544,0.7481276,0.99410933,1.0976374,1.0252149,0.78671575
328,1.7637625,1.1249483,1.6843977,0.797142,1.7920749,0.9615855
329,1.1678298,1.5907664,1.2418845,1.6725866,1.2042432,1.3970149
330,1.1511889,1.7124846,1.2398832,1.683383,0.92614406,1.8565785
331,1.3047043,1.753386,1.2112844,1.5435432,1.1034579,1.6421931
332,1.7249501,1.4109219,1.6792319,1.401985,1.2057983,1.1412213
333,1.6290364,1.1042948,1.5212781,1.0263286,1.5395709,1.0969586
334,1.6515179,1.4275093,1.0592743,1.3923805,1.3253198,1.3609252
335,1.6527383,1.4398706,1.582232,1.3227196,1.541639,1.4626989
336,1.6515561,1.739146,1.3850062,1.6170577,1.5351367,1.701018
337,1.279608,1.0507033,1.3728714,1.0265374,1.004698,0.7900718
338,1.3557434,1.6841699,1.552933,1.5997581,1.5513895,1.6715611
339,1.6046618,1.248901,1.3557246,1.2429653,1.6097943,1.2193213
340,1.1234188,1.5574303,1.3657928,1.7422117,0.9913602,1.3459547
341,1.4273734,0.8939903,1.2201608,0.97506577,1.3237774,0.87936854
342,0.72761786,1.2514542,1.0221604,1.4079844,0.63449967,1.3530445
343,1.7550795,0.9410635,1.6636384,1.1376032,1.6904038,0.8956305
344,1.490488,0.96972346,1.7710345,1.1060704,1.5735966,0.9265059
345,1.238935,1.7374735,1.3111197,1.39082,1.4979265,1.6358415
346,1.5456649,1.0430217,1.4169718,1.1914688,1.4225203,0.9927384
347,1.4039686,0.9221087,1.4963576,0.9636815,1.4467795,0.96319866
348,1.2839725,1.0896486,1.596789,1.1990322,1.2842944,0.8808713
349,1.7719584,1.1362274,1.6726935,1.1747279,1.7066599,1.1730084
350,1.0014423,1.4474732,1.0003018,1.3456082,0.9080988,1.1267185
351,1.4804865,1.1032151,1.3442309,1.0958395,1.4370866,1.0069195
352,1.0728298,1.8062807,1.1517183,1.857919,0.8769411,1.7853745
353,1.2440292,1.6328812,1.4209292,1.5812662,1.0601536,1.5816088
354,1.3034703,1.8026004,1.101381,1.8251708,1.323014,1.5970821
355,0.8026209,1.3226746,1.1103839,1.3772509,0.867569,1.3673054
356,1.3611046,1.8047681,1.464862,1.7214618,1.3941301,1.758631
357,0.8623857,1.400125,1.006462,1.260242,0.82163626,1.4005238
358,1.2247577,1.5405555,1.1573434,1.6751,1.0325043,1.3628408
359,1.2643213,1.7989569,1.190245,1.692212,1.2167721,1.67465
360,0.9368001,1.6467047,1.2556282,1.4954876,1.011111,1.6260312
361,1.7568593,1.1430562,1.7579925,1.1198801,1.7698364,1.16841
362,1.1444267,1.7491921,1.0929387,1.6981423,1.2441323,1.7536623
363,1.5528214,0.8303218,1.6008652,1.2664772,1.4594367,0.4794485
364,0.9174378,1.851889,1.2152792,1.7506719,0.88043404,1.855665
365,0.9217052,1.4236975,1.1632316,1.3477648,0.99216527,1.3202107
366,1.551171,1.2510074,1.7307874,1.2400057,1.2388909,1.1010951
367,1.4334626,0.9887955,1.1897211,1.0395778,0.9151945,0.8872111
368,1.647156,0.9040371,1.5590991,0.9400153,1.584961,1.0267792
369,1.5084096,1.0956872,1.4902856,1.1644192,1.2009631,0.9257144
370,0.78880656,1.2063484,0.8119583,1.3366758,0.56770235,1.0495497
